specObjID,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,specObjID1
305226933363304448,17.14287,3.092574,183.7723,4.815372,305226933363304448
305239577747023872,53.69723,4.313994,365.8867,6.011618,305239577747023872
305250297985394688,41.18999,6.492766,131.6162,4.784356,305250297985394688
305262392613300224,6.830879,1.816306,3.3245,1.524167,305262392613300224
305270913828415488,8.824541,2.800342,71.65227,3.425808,305270913828415488
305282458700507136,9.425714,1.936932,249.4185,3.430668,305282458700507136
306245082103703552,118.5088,6.051096,571.9593,6.702572,306245082103703552
306251954051377152,13.57972,2.794397,95.20906,5.815348,306251954051377152
306256077219981312,28.59395,2.902609,324.5472,6.274335,306256077219981312
306292361103697920,42.11485,6.593295,503.6047,5.633773,306292361103697920
306309403533928448,8.351663,2.344568,163.8906,2.709565,306309403533928448
306310228167649280,55.14682,3.085432,253.9654,4.133607,306310228167649280
306334142545553408,15.50727,3.688243,483.7978,8.491248,306334142545553408
306335242057181184,24.26605,4.786374,193.3613,5.575873,306335242057181184
306337166202529792,31.99609,5.253571,4.312842,1.250196,306337166202529792
306341564249040896,21.74137,5.117844,8.730464,3.054038,306341564249040896
306345137661831168,9.517946,2.818836,690.1702,6.92603,306345137661831168
306347061807179776,10.69733,3.428984,9.549188,2.484223,306347061807179776
306359431312992256,11.66974,2.42986,184.2444,3.413224,306359431312992256
306368502283921408,9.243635,2.597582,43.63784,2.350823,306368502283921408
